day,S,E,I,R,I_rep,new_rep
263,29860228.170643803,88020.88356154267,234274.82917412752,1667625.1166205273,23427.48291741275,2342.7482917412754
264,29848074.392035007,83697.84509173296,227653.7954405328,1690722.9674327292,22765.37954405328,2276.537954405328
265,29836244.908976123,79834.80261093262,220917.21848403238,1713152.0699289113,22091.72184840324,2209.172184840324
266,29824744.24692002,76347.40974487216,214151.87495503193,1734905.468380073,21415.187495503196,2141.5187495503196
267,29813573.451757584,73169.1187289232,207422.74760606725,1755983.6819074242,20742.274760606728,2074.227476060673
268,29802730.852252115,70247.4607856033,200777.84728193432,1776392.8396803446,20077.784728193434,2007.7784728193435
269,29792212.780169986,67541.01633705906,194251.96935415917,1796143.2341387975,19425.19693541592,1942.519693541592
270,29782014.16508359,65016.75855507819,187870.03180692377,1815248.0445544065,18787.003180692376,1878.7003180692377
271,29772128.820674755,62648.56394143322,181649.0044831168,1833722.610900696,18164.90044831168,1816.4900448311682
272,29762549.827342194,60415.42330647968,175600.15299805495,1851583.596353266,17560.015299805495,1756.0015299805495
273,29753269.717685804,58300.5762737086,169730.10319302452,1868848.6028474623,16973.01031930245,1697.3010319302452
